,time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
0,0.0,avProbe_0,8441.878338368579,93.75733749147257,0.0,195.22,avProbe_2,,,,,0.0,0,803,0,0.0,5.0,,0.0
1,1.0,avProbe_0,8440.08417090259,95.63762296952491,2.598990946358904,195.2210090536411,avProbe_2,,,,,2.598990946358904,0,803,0,2.5989909463589034,7.598990946358902,,0.0010090536410967132
2,2.0,avProbe_0,8436.49775967578,99.396177884782,5.195195256341751,20.06924800990761,0_2,,,,,2.596204309982849,0,803,0,7.794186202700653,12.794186202700656,,30.66175046708221
3,3.0,avProbe_0,8431.147771590602,105.00295935584984,7.749873331262473,43.84090759008167,0_2,,,,,2.5546780749207194,0,803,0,15.544059533963125,20.544059533963125,,23.771659580174063
4,4.0,avProbe_0,8424.0439455547,112.44776101852007,10.29044384194236,23.463595581702968,avProbe,,,,,2.5405705106798875,0,803,0,25.834503375905484,30.834503375905484,,22.380539012507167
5,5.0,avProbe_0,8415.229363471582,121.68543308656858,12.7686068687608,39.86611049059184,avProbe,,,,,2.47816302681844,0,803,0,38.60311024466628,43.60311024466628,,16.402514908888875
6,6.0,avProbe_0,8404.772782319313,132.64391832463943,15.147170071778081,51.793782987595854,avProbe,,,,,2.3785632030172805,0,803,0,53.75028031644436,58.75028031644436,0_4,11.927672497004009
7,7.0,avProbe_0,8392.773500367104,145.21915225874173,17.381892018296508,60.091562856961254,avProbe,,,,,2.234721946518425,0,803,0,71.13217233474086,76.13217233474086,0_4,8.297779869365383
8,8.0,avProbe_0,8379.361310018921,159.2751125961081,19.42859958533253,144.85646267151725,avProbe_4,,,,,2.046707567036026,0,803,0,90.56077192007342,95.56077192007342,0_4,-6.392828851290531
9,9.0,avProbe_0,8364.690132179201,174.65049040272586,21.252340765636852,139.10391877462536,avProbe_4,,,,,1.8237411803043173,0,803,0,111.81311268571024,116.81311268571024,0_4,-5.752543896891883
10,10.0,avProbe_0,8348.926436446305,191.1708257275148,22.83493780126079,134.12649016491414,avProbe_4,,,,,1.5825970356239407,0,803,0,134.64805048697102,139.64805048697102,0_4,-4.977428609711224
11,11.0,avProbe_0,8332.236107601379,208.66227150718777,24.17723784538615,130.00694350264732,avProbe_4,,,,,1.3423000441253627,0,803,0,158.82528833235716,163.82528833235716,0_4,-4.119546662266849
12,12.0,avProbe_0,8314.773933209675,226.96261054817097,25.29531607725853,126.76017682227337,avProbe_4,,,,,1.1180782318723743,0,803,0,184.12060440961568,189.12060440961568,0_4,-3.246766680373941
13,13.0,avProbe_0,8296.9417767942,246.10166806085624,26.21355299997106,124.3342563416179,avProbe_4,,,,,0.9182369227125342,0,803.178,0,210.33415740958677,9.864157409586738,0_4,-2.42592048065546
14,14.0,avProbe_0,8278.936308804377,266.1662841390193,26.958523555863838,122.6152817450053,avProbe_4,,,,,0.7449705558927775,0,803.178,0,237.2926809654506,36.822680965450566,0_4,-1.7189745966126075
15,15.0,avProbe_0,8260.532404745156,286.67490238189794,27.555078345136,121.45382268836129,avProbe_4,,,,,0.5965547892721581,0,803.178,0,264.8477593105866,64.37775931058657,0_4,-1.161459056644034
16,16.0,avProbe_0,8241.814221827488,307.5337411599941,28.025629514001217,120.70075934825857,avProbe_4,,,,,0.4705511688652209,0,803.178,0,292.87338882458783,92.40338882458778,0_4,-0.7530633401027202
17,17.0,avProbe_0,8222.85209794734,328.6644185684794,28.39086790641249,120.2286504485213,avProbe_4,,,,,0.3652383924112712,0,803.178,0,321.26425673100033,120.79425673100029,0_4,-0.4721088997372931
18,18.0,avProbe_0,8203.703601922141,350.00278208321885,28.669911909341263,119.93983135023657,avProbe_4,,,,,0.27904400292877085,0,803.178,0,349.9341686403416,149.46416864034154,0_4,-0.2888190982847121
19,19.0,avProbe_0,8184.414781065603,371.4975183103296,28.880011989678398,119.76532953238971,avProbe_4,,,,,0.210100080337142,0,803.178,0,378.8141806300199,178.3441806300199,0_4,-0.17450181784681007
20,20.0,avProbe_0,8165.021656802202,393.1084863296687,29.036179319096494,119.65944594544322,avProbe_4,,,,,0.1561673294180963,0,803.178,0,407.85035994911635,207.38035994911644,0_4,-0.10588358694648292
21,21.0,avProbe_0,8145.5518499672535,414.80490652158267,29.150991603482503,119.59344753758353,avProbe_4,,,,,0.11481228438600866,0,803.178,0,437.00135155259903,236.53135155259892,0_4,-0.06599840785970558
22,22.0,avProbe_0,8126.026178633981,436.5635800085454,29.234634216651003,119.5500893708552,avProbe_4,,,,,0.08364261316849309,0,803.178,0,466.23598576925,265.76598576924994,0_4,-0.0433581667283498
23,23.0,avProbe_0,8106.4601082515455,458.36727267589714,29.295121326409546,119.51948745701418,avProbe_4,,,,,0.060487109758543774,0,803.178,0,495.5311070956595,295.0611070956595,0_4,-0.030601913840985876
24,24.0,avProbe_0,8088.624229870541,481.5872741766069,29.33861216125593,119.49626591751678,avProbe_4,,,,,0.04349083484639493,0,:122_0,0,524.8697192569155,28.649719256915432,0_4,-0.0232215394974169
25,25.0,avProbe_0,8070.811767368578,504.8652334715936,29.36975145005843,119.47769764191312,avProbe_4,,,,,0.03113928880249261,0,:122_0,0,554.2394707069739,58.019470706973856,0_4,-0.018568275603669804
